Artwork Title,Type,Edt Size,Mint Date,Platform,Collection Name,Collaborator/Special Type,Link,Contract Hash,Token Type,TokenID Start,Token ID End,IPFS Image,IPFS Json,Pinned?,Hosting Type,Image link
Explode,Unique,1,2/4/20,SuperRare,,,https://superrare.com/artwork-v2/explode-7673,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,ERC-721,1/2,7673,Qmd3xEyqJXoyZG8vpT2zsrwxV5dZmWHz986iXysrzQMZr4,QmbVjyadjJXYTzaf4r8uBhG3CJ5Y1CVb4AuutuBGoo1Kb8,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/9c7e77afb675d51c9c0bf9799af01f/439c7e77afb675d51c9c0bf9799af01f.gif?w=350
Revolution,Unique,1,2/5/20,SuperRare,,,https://superrare.com/artwork-v2/revolution-7735,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,3/5,7735,QmXmM7a7vrU2dyzX9n1N9rL5i6kC16SmPE9Aizs8JUdaZq,QmYQ6RXeSacTgig3ppkbDPoyE91pk4LGyzpboaQptJmrRB,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/bf024b6ff0a234c1bf47e4b2511ece/dabf024b6ff0a234c1bf47e4b2511ece.gif?w=350
Vortex,Unique,1,2/14/20,SuperRare,,,https://superrare.com/artwork-v2/vortex-8025,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,12/20,8025,QmfFTC2kzrzjssZ3wce5SKVPSad8iG4kbzFr1opj8tikEh,QmdM8XdS5MPwib5JE6v259Yar6p9Th4CPHRK2xa9DuhKuY,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/94e1e2453ba75ea6867c008ce4232d/1e94e1e2453ba75ea6867c008ce4232d.gif?w=350
Safe,Unique,1,2/18/20,SuperRare,,,https://superrare.com/artwork-v2/safe-8130,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,4/4,8130,QmZjNYNGLvD4gT4TgVv5Zxy4kZZKM1isJpC7LaRvCzv6ZM,QmX44EQFnsWZqq3334aWLokuPJCL39VxiyK77Z87QSL6xf,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/d2bbe4edda69cbc2372b13aab6b148/66d2bbe4edda69cbc2372b13aab6b148.gif?w=350
Waves,Unique,1,2/20/20,SuperRare,,,https://superrare.com/artwork-v2/waves-8194,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,6/7,8194,QmTWz5hRzKxqUw94H2MTgvAY5rY2cTbHWFF5Gd8Ur5VNTs,QmTF3dkmgEjWZkPtggQQdaFEQ786hE1taVvKWymGAVe7Gh,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/f0c23fd0746e8ec59fa69b4ea38309/68f0c23fd0746e8ec59fa69b4ea38309.gif?w=350
Valley,Unique,1,2/26/20,SuperRare,,,https://superrare.com/artwork-v2/valley-8364,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,11/24,8364,QmULbjq2V8qEi7oSZXJ4huWmLbxGbC7NvP8V7sA6X8MEtj,QmYL5sWCiBb5ug7zcVR7SBjuFk5qbsaPm6wggTamzLXjgu,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/4e6155aa9a97b57d82be9813a82143/0a4e6155aa9a97b57d82be9813a82143.gif?w=350
Cloak,Unique,1,3/4/20,SuperRare,,,https://superrare.com/artwork-v2/cloak-8527,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,5/6,8527,Qmdd2Ye5gKAzf2bxN6Qf9aUajobyL63qJnjLDADqBop59v,QmaQYmbHF5edchFsEHBxDY3ri1ayagT6xySDkDeJiTukLh,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/7d6d2218846c6b201920d779679bd0/9e7d6d2218846c6b201920d779679bd0.gif?w=350
Thumbs Up,Unique,1,3/10/20,SuperRare,,,https://superrare.com/artwork-v2/thumbs-up-8682,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,10/8,8682,Qmb3x7qJrT27Ex85Nw5HhYUAsJEtddj9YJrBttryiYYVjV,QmW9kZhhuvworrKRZqx13YDWmnHJL6Fk6NqXdPF5G2J6PE,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/7d5b7568db4b856f1f921736d33969/3b7d5b7568db4b856f1f921736d33969.gif?w=350
Flip,Unique,1,3/17/20,SuperRare,,,https://superrare.com/artwork-v2/flip-8829,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,3/3,8829,QmZ8MWmoNNxFMjAoxWhGXFcf1qbs6eZC8aAg4k8u9iJqyQ,QmZFZitU2t9uJ49sct7Sm3Hj1EZNsDB9yZ9DuBLGUDAgaR,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/44e7245d618b0efd7f9a516d55c22d/2a44e7245d618b0efd7f9a516d55c22d.gif?w=350
Chuting Star,Unique,1,3/24/20,SuperRare,,,https://superrare.com/artwork-v2/chuting-star-9010,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,ERC-721,8/31,9010,QmVLVq2AheUfjYUgPc3ttuimH7RjfM85v4rtDYpyY77Kb9,QmXMUHQ4eR3ziFAHya8fatCzTsRu4ASdqi9H9Np4ExJrjK,Y,IPFS,https://i2.seadn.io/ethereum/0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0/2ea426b9405dd6829d96847ac3d371/f32ea426b9405dd6829d96847ac3d371.gif?w=350
